clade_name	MS11669_jun23_under50bp.metaphlan	MS11670_jun23_under50bp.metaphlan	MS11673_jun23_under50bp.metaphlan	MS11674_jun23_under50bp.metaphlan	MS11675_jun23_under50bp.metaphlan	MS11676_jun23_under50bp.metaphlan	MS11677_jun23_under50bp.metaphlan	MS11678_jun23_under50bp.metaphlan	MS11679_jun23_under50bp.metaphlan	MS11683_jun23_under50bp.metaphlan	MS11684_jun23_under50bp.metaphlan	MS11686_jun23_under50bp.metaphlan	MS11770_jun23_under50bp.metaphlan	MS11771_jun23_under50bp.metaphlan	MS11774_jun23_under50bp.metaphlan	MS11775_jun23_under50bp.metaphlan
s__Clostridium_moniliforme	0.30638	2.72038	0.98193	3.37252	0.95256	0.12963	0.76265	0.0666	1.41567	1.51893	0.95061	9.42084	0.0	1.30088	0.47629	0.47534
s__GGB91395_SGB134845	0.29629	0.10107	0.52443	0.02143	0.03384	0.00697	0.04524	0.10974	0.11162	0.35884	0.12055	0.03315	0.4075	0.04096	0.08877	0.00617
s__GGB73405_SGB57195	0.27737	0.13324	0.60666	0.01214	0.03973	0.00612	0.04219	0.11863	0.16382	0.31165	0.18328	0.04619	0.47399	0.05588	0.10992	0.00518
s__GGB4386_SGB6036	0.25839	0.7219	2.28121	1.44859	5.88699	6.72875	1.03886	0.61424	3.28692	4.17011	4.40106	3.20716	2.22306	0.2283	8.02392	4.02266
s__Nocardioides_soli	0.24313	0.0	0.0	0.0	0.0	0.0	0.0	0.00465	0.33604	0.08198	0.0	0.04079	0.0	0.0	0.0	0.0
s__Mycolicibacterium_sp_YH_1	0.23748	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01125	0.0	0.0	0.0
s__Alcaligenes_pakistanensis	0.22176	0.0	0.0	0.0	0.00882	0.0	0.0	0.0	0.26652	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__GGB91397_SGB134825	0.21861	0.12384	0.4614	0.082	0.0397	0.00831	0.02634	0.0849	0.10308	0.28976	0.15869	0.06007	0.32087	0.04564	0.06738	0.00669
s__Pseudomonas_proteolytica	0.21353	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.38047	0.0	0.0
s__Paeniclostridium_sordellii	0.19034	3.23645	0.0	0.886	0.06054	0.43997	0.0	0.02735	0.0	0.0	0.13523	0.5679	0.26348	0.18746	0.04798	0.02105
s__Arcobacter_ellisii	0.18009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Fusobacterium_SGB6028	0.17944	0.18968	0.84976	0.88793	2.68804	3.65033	1.39192	1.29803	1.04777	1.81994	8.28098	3.07699	1.61639	0.32573	4.53553	1.09843
s__Rhodospirillaceae_bacterium_SYSU_D60009	0.17305	0.09519	0.18072	0.00772	0.00445	0.01941	0.04095	0.0	0.0	0.02301	0.0	0.0	0.03427	0.0	0.02581	0.00201
s__Eoetvoesia_caeni	0.16468	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Arcobacter_venerupis	0.16247	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Streptomyces_rutgersensis	0.14799	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.38232	0.03016	0.0	0.10636	0.345	0.02022	0.0	0.0
s__GGB15819_SGB24071	0.14442	0.12819	0.50862	0.0	0.01439	0.0	0.00243	0.0	0.0288	0.04954	0.04009	0.02724	0.05005	0.0084	0.01623	0.00803
s__GGB15820_SGB24072	0.14057	0.11329	0.6651	0.03626	0.01554	0.00846	0.03166	0.02084	0.03848	0.06729	0.0514	0.03734	0.1189	0.02795	0.01478	0.01724
s__Micromonospora_peucetia	0.13864	0.0	0.41209	0.0	0.01451	0.25793	0.12226	0.33251	0.95033	0.65749	0.02091	0.0	0.32481	0.05524	0.06874	0.0
s__Romboutsia_hominis	0.12578	2.77168	1.11926	7.19434	1.12828	0.9895	0.3909	0.28857	0.38093	0.38078	0.23042	0.31776	1.2047	0.48104	0.47098	0.16706
s__GGB52660_SGB131926	0.12219	0.0	0.31971	0.0	0.02864	0.00517	0.05861	0.0	0.0	0.05143	0.0	0.0	0.18562	0.0117	0.00715	0.0017
s__GGB48227_SGB66234	0.1172	0.0	0.46487	0.71828	0.0	0.4481	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__GGB36712_SGB24061	0.11197	0.06983	0.49117	0.0	0.01459	0.00733	0.00708	0.0	0.02454	0.0195	0.01873	0.01942	0.07334	0.01838	0.0	0.00956
s__GGB61948_SGB84082	0.11036	0.16107	0.92679	0.0	0.00811	0.06905	0.22318	0.01427	0.0	0.0	0.0	0.0	0.17822	0.08586	0.04876	0.00636
s__GGB15817_SGB24066	0.11006	0.07808	0.63697	0.03903	0.00986	0.00456	0.04085	0.02181	0.0217	0.05045	0.03405	0.03784	0.05669	0.01853	0.01032	0.00715
s__GGB78298_SGB107406	0.10912	0.11827	0.7271	0.00666	0.01679	0.0	0.01354	0.01219	0.04057	0.04693	0.02698	0.03384	0.04289	0.01798	0.01006	0.00833
s__Alcaligenaceae_bacterium	0.10689	0.0	0.0	0.0	0.0607	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__GGB15812_SGB24058	0.10438	0.01507	0.62967	0.00758	0.01223	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Desemzia_incerta	0.10407	0.0	0.0	0.0	0.0	0.10885	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__GGB32910_SGB85772	0.10201	0.0	3.01955	0.0	0.16107	0.07598	0.00612	0.0	0.19701	0.11872	0.17534	0.22958	0.0	0.0	0.0	0.0
s__GGB61494_SGB83575	0.09865	0.0	0.0	0.0	0.00687	0.0	0.0109	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03588	0.00934
s__Pollutimonas_subterranea	0.09763	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__GGB49350_SGB69252	0.09181	0.0	0.2037	0.0	0.01164	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09034	0.0	0.0	0.00226
s__GGB96933_SGB136513	0.09134	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__GGB97290_SGB56134	0.09002	0.02787	0.37966	0.0	0.00509	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Clostridium_sp_Ade_TY	0.08459	0.53538	0.03702	1.22762	0.32174	0.09536	0.35688	0.05603	0.23038	0.17184	0.22988	0.07767	0.99639	0.1535	0.08856	0.16644
s__Arcobacter_acticola	0.0825	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__GGB8463_SGB13169	0.08092	0.01906	0.3888	0.0	0.01471	0.00538	0.00194	0.035	0.0016	0.02948	0.02624	0.01137	0.04845	0.01695	0.02194	0.00564
s__GGB44506_SGB61938	0.08036	0.0	0.12638	0.0	0.00665	0.0	0.0	0.02552	0.01803	0.10837	0.02028	0.0	0.12941	0.00852	0.02799	0.00408
s__Hydrogenophaga_sp_2FB	0.07703	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Stenotrophomonas_pictorum	0.07598	0.0	0.0	0.0	0.76119	0.0725	0.01622	0.0071	0.57227	0.04187	0.0	0.0	0.06079	1.13554	0.06413	0.01327
s__Sphingobacterium_sp_B16_2022	0.0734	0.0	0.0	0.0	0.11467	0.0	0.0	0.0	0.0	0.0	0.21881	0.0	0.05646	0.28485	0.0	0.0
s__GGB89562_SGB125918	0.07231	0.0	0.0	0.0	0.00098	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0294	0.00654
s__Serratia_proteamaculans	0.07212	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Clostridium_thermobutyricum	0.07103	1.65458	0.00887	1.34842	2.67395	0.01436	4.25426	0.03606	0.90367	0.92132	5.33095	2.0219	1.38731	1.28586	0.75579	0.27244
s__GGB40651_SGB56143	0.06933	0.04804	0.32172	0.0	0.00943	0.00288	0.0	0.00594	0.0076	0.02697	0.00688	0.00119	0.05415	0.01	0.00534	0.00356
s__GGB33998_SGB56062	0.0673	0.09772	0.28961	0.0	0.00668	0.00699	0.00882	0.00084	0.0	0.00554	0.0	0.03159	0.02677	0.01735	0.00168	0.00086
s__GGB15812_SGB24059	0.06722	0.06083	0.41503	0.00907	0.00354	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__GGB44695_SGB62151	0.06505	0.08206	0.03532	0.0	0.00259	0.0	0.01228	0.00665	0.02718	0.10229	0.0	0.0	0.18937	0.01947	0.02143	0.00374
s__Oerskovia_gallyi	0.06493	0.0	0.0	0.0	0.13054	0.0	0.0	0.0	2.6224	0.80707	0.0	0.0	0.20371	0.0	0.0	0.0
s__Clostridium_massiliamazoniense	0.06428	0.00483	0.0	0.96868	0.47157	0.0	0.58684	0.0	0.23902	0.32715	0.21924	0.27493	0.28394	0.0468	0.29423	0.00958
s__Candidimonas_sp_SYP_B2681	0.06332	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__GGB61495_SGB83576	0.0621	0.0	0.0	0.0	0.00173	0.0	0.09141	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01402	0.00311
s__GGB93435_SGB131913	0.06097	0.00375	0.26086	0.0	0.01448	0.0	0.02325	0.0	0.0	0.00794	0.0	0.0	0.01399	0.0	0.0	0.0
s__Sphingobacterium_hungaricum	0.05996	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05528	0.0	0.0	0.01278	0.0	0.0
s__Arcobacter_cloacae	0.05971	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__GGB89586_SGB125898	0.05968	0.0	0.0	0.0	0.00043	0.0	0.04946	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01935	0.00658
s__Rhodococcus_sp_KBS0724	0.0588	0.0	0.0	0.0	0.17813	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Arcobacter_defluvii	0.05752	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__GGB34048_SGB73551	0.05518	0.11485	0.37712	0.0	0.00726	0.00534	0.0	0.01629	0.05267	0.06235	0.05827	0.04835	0.04235	0.02044	0.0082	0.00984
s__GGB49350_SGB131930	0.05383	0.0	0.07847	0.0	0.0079	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02127	0.0	0.0	0.0
s__Sphingopyxis_sp_FBM22	0.05275	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01273	0.0	0.0	0.0	0.0	0.0	0.00089	0.00045
s__GGB90628_SGB127264	0.05029	0.03901	0.30218	0.0	0.00197	0.0165	0.04181	0.00078	0.0	0.0	0.0	0.0	0.06579	0.03619	0.00853	0.0
s__GGB93409_SGB131987	0.05013	0.06002	0.25863	0.00999	0.03211	0.00764	0.00796	0.01869	0.01335	0.02781	0.0118	0.00207	0.03443	0.02169	0.00602	0.02211
s__GGB7903_SGB11757	0.05011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00133	0.0	0.0
s__Aquamicrobium_aerolatum	0.05005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.61457	0.02827	0.0	0.0	0.0	0.0	0.0	0.0004
s__GGB52662_SGB73546	0.0488	0.02342	0.21892	0.0	0.00958	0.00316	0.01309	0.00205	0.0	0.01372	0.00576	0.0	0.03733	0.00097	0.0067	0.0024
s__Herminiimonas_arsenicoxydans	0.04825	0.05395	0.0	0.0	0.00135	0.0	0.01529	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00371
s__Pusillimonas_thiosulfatoxidans	0.04821	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01196	0.0	0.00128
s__Streptomyces_anulatus	0.04729	0.0	0.0	0.0	0.17139	0.0	0.0	0.0	0.0	0.0	0.09683	0.0	0.1461	0.0	0.0	0.0
s__Sphingopyxis_terrae	0.04644	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Steroidobacter_denitrificans	0.04573	0.0	0.00328	0.0	0.0	0.0	0.01434	0.00724	0.0	0.0	0.0	0.0	0.00552	0.00078	0.00935	0.0
s__GGB77687_SGB108590	0.04535	0.86244	0.69346	0.0	0.00644	0.04056	0.38282	0.00924	0.0	0.0	0.0	0.0	0.10139	0.03479	0.0131	0.0
s__Rhodocyclaceae_bacterium	0.04426	0.00765	0.04618	0.0	0.00621	0.0	0.0	0.01228	0.00259	0.03215	0.00356	0.0	0.02898	0.0	0.00963	0.0
s__GGB32011_SGB57188	0.04349	0.01934	0.0	0.0	0.00124	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00039
s__GGB34048_SGB56130	0.04181	0.03767	0.36408	0.0	0.00723	0.0	0.0	0.00744	0.08246	0.0614	0.05228	0.0508	0.07391	0.02054	0.00162	0.00421
s__Oerskovia_rustica	0.04084	0.0	0.0	0.0	0.19733	0.0	0.23843	0.0	0.49044	0.31069	0.4786	0.0	0.88652	0.0	0.0	0.0
s__GGB32011_SGB57187	0.04044	0.05488	0.0	0.0	0.00402	0.0	0.0	0.00516	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00108
s__GGB64074_SGB86472	0.03752	0.04128	0.17344	0.0	0.00389	0.00255	0.01311	0.00747	0.02288	0.04732	0.00674	0.01946	0.04167	0.01461	0.00913	0.00246
s__GGB15811_SGB24057	0.03692	0.0	0.16602	0.0	0.00715	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0013	0.0	0.0
s__Mammaliicoccus_sciuri	0.03643	0.0	0.0	0.00683	0.08358	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Pelomicrobium_methylotrophicum	0.03478	0.00576	0.06085	0.0	0.00368	0.0	0.0	0.00871	0.01157	0.03589	0.00263	0.0	0.01273	0.00258	0.00731	0.0
s__GGB49350_SGB131936	0.03465	0.0	0.0	0.0	0.00219	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03883	0.0	0.0	0.0
s__GGB32486_SGB56139	0.0335	0.0	0.09244	0.0	0.00332	0.0	0.0	0.0	0.0	0.00576	0.00342	0.0	0.0	0.00203	0.0	0.00059
s__Candidimonas_bauzanensis	0.03109	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Pseudoxanthomonas_gei	0.03071	0.0	0.0	0.0	0.0	0.0	0.0	0.00749	0.0	0.0	0.0	0.0	0.0	0.00155	0.0	0.0
s__GGB95927_SGB125544	0.03042	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__GGB61947_SGB84081	0.02976	0.06179	0.34691	0.0	0.00045	0.01671	0.06916	0.0	0.0	0.0	0.0	0.0	0.06708	0.02973	0.01137	0.0
s__GGB44793_SGB62258	0.02929	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Malaciobacter_pacificus	0.02832	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Brevundimonas_naejangsanensis	0.02651	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05409	0.0	0.0	0.0	0.0	0.0
s__Sporosarcina_sp_P20a	0.02543	0.0	0.0	0.0	0.05154	0.03781	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__GGB93324_SGB131738	0.02212	0.02825	0.11311	0.0	0.00318	0.0	0.00202	0.0	0.00322	0.0	0.0	0.0	0.00613	0.0	0.00223	0.00026
s__GGB99362_SGB140013	0.02139	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Lachnospiraceae_bacterium_2_1_46FAA	0.02013	0.0	0.0	0.0	0.69007	0.04825	0.0	0.0	0.0	0.0	2.19425	0.0	0.0	0.0	0.4217	0.7393
s__GGB82146_SGB113463	0.02012	3.54604	3.83863	1.21065	3.49841	6.55054	0.0	0.0	0.0	0.01295	0.11384	0.1224	0.0	0.0	1.81878	0.003
s__Sphingopyxis_solisilvae	0.01999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__GGB65186_SGB88148	0.01977	0.00658	0.03876	0.0	0.00113	0.0	0.0	0.00591	0.00111	0.01838	0.0	0.0	0.0	0.00233	0.00457	0.00051
s__GGB93000_SGB131315	0.01952	0.02975	0.03617	0.0	0.0	0.0	0.01281	0.0	0.01479	0.02558	0.0	0.0	0.0	0.0	0.0	0.0
s__Bosea_sp_WAO	0.01941	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00785	0.0	0.0	0.0	0.0
s__GGB91348_SGB134887	0.01907	0.04231	0.11314	0.0	0.0	0.0	0.02995	0.00695	0.0799	0.13323	0.0	0.06132	0.04414	0.00129	0.01209	0.0
s__GGB74136_SGB132293	0.01896	0.04452	0.08872	0.0	0.0018	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00321	0.0	0.00618	0.00111
s__Hydrogenophaga_sp_IBVHS1	0.01889	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Sporosarcina_gallistercoris	0.01823	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Lederbergia_lenta	0.01784	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Aliarcobacter_skirrowii	0.01729	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__GGB36850_SGB56170	0.01704	0.01126	0.14456	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__GGB44498_SGB103071	0.01655	0.0	0.0	0.0	0.00252	0.0	0.0	0.00508	0.0	0.01275	0.0	0.0	0.0	0.00366	0.00832	0.0
s__GGB91165_SGB135004	0.01634	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
