clade_name	SRR14842325_jun23_nreads.metaphlan	SRR14842328_jun23_nreads.metaphlan	SRR14842338_jun23_nreads.metaphlan	SRR14842341_jun23_nreads.metaphlan	SRR14842352_jun23_nreads.metaphlan	SRR14842361_jun23_nreads.metaphlan	SRR14842362_jun23_nreads.metaphlan	SRR14842364_jun23_nreads.metaphlan	SRR14842368_jun23_nreads.metaphlan	SRR14842376_jun23_nreads.metaphlan	SRR14842383_jun23_nreads.metaphlan	SRR14842385_jun23_nreads.metaphlan	SRR14842389_jun23_nreads.metaphlan	SRR14842396_jun23_nreads.metaphlan	SRR14842399_jun23_nreads.metaphlan	SRR14842401_jun23_nreads.metaphlan	SRR14842403_jun23_nreads.metaphlan	SRR14842426_jun23_nreads.metaphlan	SRR1944873_jun23_nreads.metaphlan	SRR1952058_jun23_nreads.metaphlan	SRR1952418_jun23_nreads.metaphlan	SRR1952501_jun23_nreads.metaphlan	SRR1952518_jun23_nreads.metaphlan	SRR1952531_jun23_nreads.metaphlan	SRR1952562_jun23_nreads.metaphlan	SRR2175647_jun23_nreads.metaphlan	SRR2175649_jun23_nreads.metaphlan	SRR2175658_jun23_nreads.metaphlan	SRR2175723_jun23_nreads.metaphlan	SRR2175724_jun23_nreads.metaphlan	SRR2175749_jun23_nreads.metaphlan	SRR2175755_jun23_nreads.metaphlan	SRR2175756_jun23_nreads.metaphlan	SRR2175764_jun23_nreads.metaphlan	SRR2175766_jun23_nreads.metaphlan	SRR2175773_jun23_nreads.metaphlan	SRR2175774_jun23_nreads.metaphlan	SRR2175792_jun23_nreads.metaphlan
s__Fusobacterium_mortiferum	2.59216	0.02353	0.0	0.08037	0.0	0.04317	0.06132	0.35767	0.04842	3.15091	0.03346	0.03681	0.0	5.05811	0.0	0.0	0.06447	7.43992	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Phocaeicola_vulgatus	2.06572	1.12152	0.0	5.07493	0.0	0.0	0.0	0.0	0.0	1.12506	0.0	0.22802	0.10126	0.13275	0.0	0.0	0.0	1.37193	14.90331	12.10278	22.02585	22.25515	18.28022	12.92735	26.96233	2.72774	0.39477	15.26672	8.52914	7.81946	8.69479	34.03967	2.03996	0.0	5.58791	13.0155	25.86503	8.32094
s__GGB74478_SGB48259	1.79918	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Firmicutes_unclassified_SGB47659	1.76469	0.86087	0.0	0.9706	0.02769	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.58872	0.0	0.00731	0.0	0.43581	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Romboutsia_timonensis	1.73336	1.15421	0.29638	0.08396	0.0	0.0	0.02193	0.0	0.01915	0.0	0.0	0.13276	0.0	0.0	0.0	0.0791	0.0	0.40242	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Blautia_hansenii	1.72284	1.08154	0.0	0.96336	1.76311	0.99064	2.47489	2.91209	1.68826	4.27266	0.62838	0.99758	0.0	0.56664	3.81231	0.19139	1.22164	0.55335	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Parabacteroides_merdae	1.56349	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.35316	0.0	0.0	0.38686	0.0	0.0	2.32213	6.52763	0.26026	0.81635	0.0	9.49524	3.72204	0.0	0.0	0.64632	2.78382	7.10041	2.2283	4.80591	0.0	0.0	5.14933	9.02758	0.0	0.38094
s__Sutterella_wadsworthensis	1.49774	0.60069	0.1307	3.97356	0.42545	3.9798	2.2807	1.71652	0.43459	2.42576	0.1543	0.11478	0.40835	0.50048	0.0	1.16321	0.07448	2.18341	0.0	0.0	0.0	0.43297	1.92327	0.0	0.0	0.0	0.0	0.77243	0.18373	0.0	0.0	0.0	0.0	0.0	0.54664	0.0	0.0	0.0
s__GGB3602_SGB66069	1.40066	0.37995	0.0	0.4867	0.01187	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03614	0.6482	0.0	0.03257	0.0	0.50328	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__GGB41473_SGB58537	1.33374	0.03584	0.0	1.24506	0.0	0.00372	0.01151	0.0	0.00869	0.0	0.0	0.0	1.4192	0.11913	0.0	0.17651	0.0	0.14211	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Clostridiaceae_bacterium_Marseille_Q3526	1.2431	0.0	0.34331	0.28264	0.40163	1.48012	3.59456	0.90201	0.45908	4.43078	0.0	0.0	0.15633	0.19235	0.0	2.64199	0.47434	0.13427	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.35607	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Ruminococcus_gnavus	1.22734	1.9842	1.27793	0.92644	4.59247	2.33283	4.56122	9.56566	2.50022	3.13025	1.69981	1.19349	0.29935	2.22951	0.17179	1.04725	1.65215	1.63373	0.0	0.0	0.0	0.0	0.29801	0.0	0.22714	0.0	0.0	0.0	0.00458	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__GGB1515_SGB48227	1.13454	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Bacteroides_stercoris	1.12526	0.26749	0.0	2.27942	0.0	2.55244	1.63278	0.0	0.0	2.3334	0.0	0.0	0.22418	0.0	0.0	1.10163	0.0	0.1169	15.20806	9.81736	11.70881	6.74649	0.0	0.0	4.41912	2.08505	0.0	3.836	0.0	0.0	1.32129	9.21806	0.0	17.66365	0.0	0.0	0.43214	7.56184
s__GGB3606_SGB4870	1.02535	0.29799	0.08418	0.22227	0.54433	0.25343	0.22272	0.03934	0.23685	0.3692	0.0	0.01878	0.18214	0.67774	0.13637	0.53849	0.0	0.30265	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Peptacetobacter_hiranonis	0.94293	2.2562	0.28618	1.745	2.75952	0.56554	1.0594	0.56159	1.39631	2.15014	0.11392	0.84954	0.03257	3.83122	1.10619	1.78966	2.11044	1.76116	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Turicibacter_bilis	0.81748	0.43359	0.18942	0.32009	0.0	0.0	0.0	0.0	0.34654	0.0	0.0	0.22071	0.03729	0.0	0.0	1.65806	0.0	0.04567	0.0	0.0	0.0	0.0	0.0	0.0	0.016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Faecalimonas_umbilicata	0.79433	1.65721	0.0	1.10334	0.15432	0.17285	0.40048	0.19787	0.42954	0.0745	0.00336	0.75223	0.0	0.25697	0.0	0.12396	0.22284	0.47929	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Amedibacillus_dolichus	0.78076	0.0	0.0	0.85716	0.0	0.02427	0.06132	0.0	0.0	0.0	0.0	0.0	0.0	0.15668	0.42036	0.00891	0.0542	0.33252	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__GGB48667_SGB72905	0.76622	0.1405	0.0	8.39635	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01942	0.0	1.46165	0.0	0.0	0.0	2.46157	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__GGB4385_SGB6032	0.76478	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.57509	0.0	0.0	0.0	0.6455	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Lachnospiraceae_bacterium_2_1_46FAA	0.76092	0.29021	0.0	0.25944	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08886	0.0	0.0	0.282	0.0	0.60298	0.00926	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__GGB3441_SGB4591	0.74046	1.10401	0.0	1.88358	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5361	0.0	0.03179	0.0	0.19049	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Firmicutes_unclassified_SGB47660	0.72305	4.38689	0.0	2.85664	0.08648	0.0	0.0	0.0	0.0	0.0	0.0	0.21781	0.05056	1.74678	0.0	0.0	0.0	2.07563	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__GGB3600_SGB4860	0.62839	2.61138	0.0	0.64135	0.0	0.31336	0.1308	0.09742	0.0	0.0	0.0	0.21457	0.0	0.0	0.0	0.0	0.0	0.01218	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Clostridia_bacterium	0.62404	0.0	0.0	0.06782	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0492	0.0	0.0	0.25463	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09913	0.0	0.0	0.0	0.0172	0.0	0.0	0.0	0.21956	0.0	0.0	0.0	0.0	0.0
s__Escherichia_coli	0.61311	1.89502	18.6033	3.20528	21.40177	0.38934	0.38131	0.29849	0.0	4.06024	0.48169	1.409	0.03891	2.78526	45.42781	0.87958	0.0	1.04317	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04007	0.0	0.0704	0.0	0.0	0.0
s__Candidatus_Arthromitus_sp_SFB_turkey	0.60561	0.10291	0.27211	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03688	0.0	0.0	0.0	0.00722	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Clostridium_cuniculi	0.59853	0.33861	0.33461	0.19123	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05459	0.0	0.28409	0.0	0.0	0.0	0.36022	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Enterococcus_hirae	0.54089	0.0	1.80054	0.04845	0.24496	0.0	0.0493	0.0	1.2456	0.0	0.01655	0.169	0.0	0.0	0.0096	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Clostridium_sp_AT4	0.52276	0.06989	0.16647	0.01114	0.09775	0.73397	2.32634	0.15566	0.25344	0.80415	0.0	0.0	0.28138	0.5497	0.0	1.7499	0.21617	0.23447	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.20306	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Bacteroides_uniformis	0.48066	0.00914	0.0	0.08911	0.0	0.0	0.0	0.0	0.0	0.18017	0.0	0.0	0.0094	0.0	0.0	0.0	0.0	0.07618	21.68924	18.89306	8.52008	8.99641	0.0	1.10815	4.51265	8.91248	1.8947	3.56661	16.3475	0.0	3.07097	36.89254	2.70611	0.0	7.99748	2.69338	11.70607	7.15197
s__Phocaeicola_massiliensis	0.46835	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.69234	0.0	0.0	0.0	0.0	0.0	0.21622	5.41943	3.68866	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.14687	6.50987
s__GGB34476_SGB65958	0.41037	0.6254	0.0	1.91054	0.0	0.0974	0.19564	0.0	0.0	0.0	0.0	0.0	0.0	1.02407	0.0	0.05567	0.0	1.11236	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Firmicutes_bacterium	0.39749	0.0	0.01763	0.06006	0.90157	0.14337	0.13045	0.11171	0.26576	0.0	0.0	0.0	0.03813	0.32063	0.0	0.27137	0.00823	0.21773	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Helicobacter_cinaedi	0.38341	0.85451	0.48114	0.04097	0.0	0.0	0.0	0.67436	0.0	0.94753	0.0	0.02384	0.61591	0.42839	0.0	0.0	0.0	0.36728	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Enterococcus_faecalis	0.31074	0.0	4.32217	0.0	2.30423	0.0	0.0	0.0	0.00363	0.0	0.0	0.0	0.06486	0.0	0.33358	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Fournierella_massiliensis	0.30017	1.07153	0.37011	0.32143	0.0	0.47738	0.63081	0.67698	0.34145	1.46746	0.06995	0.49006	0.15846	0.08782	0.0	0.25311	0.0	0.37646	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Gemmiger_sp_An194	0.27892	0.29672	0.0	0.57543	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01499	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Turicibacter_sanguinis	0.27021	0.03523	0.20783	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00526	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Butyricicoccus_SGB14985	0.2562	0.262	0.07462	0.2875	0.0	0.14965	0.36024	0.22903	0.0	0.42544	0.0	0.02654	0.01502	1.49971	0.0	0.0	0.0	0.50625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Bacteroides_ovatus	0.25238	0.01509	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05303	0.0	0.0	0.0	0.0	0.0	0.55001	1.05731	0.63715	0.43554	0.21559	4.10105	4.75682	2.88361	0.85545	0.11887	3.24654	0.27431	3.17685	0.20506	0.33844	0.0	0.15458	1.7518	2.85941	4.67341	0.62167
s__Bacteroides_thetaiotaomicron	0.22141	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34196	2.49354	1.29167	2.40406	0.18718	14.05988	1.27074	0.0	0.2773	0.0	0.0	0.18696	0.0	1.17534	4.00381	0.21323	4.71432	0.0	0.0	3.57659	0.01187
s__GGB3550_SGB4746	0.21107	0.0	0.0	0.27844	0.05064	0.0	0.02723	0.0	0.0	0.0	0.0	0.0	0.11238	0.14785	0.0	0.06302	0.0	0.11406	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Parabacteroides_distasonis	0.20671	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00863	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.90257	0.72932	3.34325	0.0	0.0	1.21301	0.12286	0.19689	2.02982	4.52263	0.16766	0.01634	0.31127	4.47529	1.06983	1.59136	3.08506	0.36115
s__GGB4248_SGB5746	0.20216	0.0	0.21743	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22347	0.0	0.0	0.0	0.31409	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Clostridium_paraputrificum	0.19647	0.0	0.0	0.71505	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00324	0.0	0.01927	0.0	0.0	0.0	0.09469	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Romboutsia_ilealis	0.18458	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__GGB36970_SGB116737	0.17511	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Clostridium_SGB6177	0.17232	0.0	0.20713	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.30499	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01145	0.0	0.0	0.0
s__Clostridiales_bacterium	0.17017	0.0	0.0	0.0	0.0	0.30087	0.34246	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.15451	0.09031	0.0	0.0	0.0	0.0	0.61801	0.0	0.07773	0.19415	0.0	0.0	0.0	1.23962	0.12998	0.0	0.10397	0.0	0.26064	0.11593	0.0	0.0	0.0
s__Bacteroides_finegoldii	0.1513	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01831	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.49625	0.0	2.11488	0.0	0.0	0.03583	0.0	0.39377	0.0	0.37928	5.451	0.0	0.0	0.3	0.0	0.0	0.0
s__Hydrogenoanaerobacterium_SGB53821	0.14967	0.0	0.0	0.09851	0.0	0.25038	0.09078	0.0	0.06258	0.0	0.0	0.0	0.0162	0.06365	0.0	0.07125	0.0	0.06936	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Ralstonia_mannitolilytica	0.13991	0.10514	0.07077	0.09202	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00635	0.00411	0.05431	0.0	0.0	0.0	0.01902	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Phascolarctobacterium_succinatutens	0.13633	0.0	0.0	0.1776	0.0	0.0	0.0	0.0	0.0	0.29792	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Bacteroides_caccae	0.13621	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.96966	0.0	0.0	0.0	0.0	0.0	0.01047	0.80724	0.0	0.0	0.61208	16.3896	2.20254	11.05944	0.68742	0.15252	0.20885	1.81135	2.42801	0.0	0.0	0.0	0.0	3.42758	4.57428	0.0	2.14618
s__GGB3743_SGB5086	0.1347	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00186	0.0	0.0	0.0	0.15277	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Eubacterium_tenue	0.12732	0.05158	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Amedibacterium_intestinale	0.12302	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.71707	0.0	0.0	0.0	1.28542	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
