clade_name	Blank1_WH_jun23_nreads.metaphlan	Blank2_WH_jun23_nreads.metaphlan	KH_blank_1_jun23_nreads.metaphlan	KH_blank_2_jun23_nreads.metaphlan	LB_blank_1_jun23_nreads.metaphlan	LB_blank_2_jun23_nreads.metaphlan	MS10790_jun23_nreads.metaphlan	MS10902_jun23_nreads.metaphlan	MS10903_jun23_nreads.metaphlan	MS10904_jun23_nreads.metaphlan	MS11102_jun23_nreads.metaphlan	MS11103_jun23_nreads.metaphlan	MS11107_jun23_nreads.metaphlan	MS11108_jun23_nreads.metaphlan
s__GGB91375_SGB134870	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05125	0.0	0.45276	0.0492
s__GGB91392_SGB134812	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05031	0.0	0.82762	0.11777
s__GGB14621_SGB22159	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04289	0.0	0.54357	0.0438
s__Hyphomicrobiales_bacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03863	0.33085	0.20372	0.20781
s__GGB89632_SGB125949	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03577	0.21731	0.10068	0.0
s__GGB63470_SGB85778	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03449	0.0	0.44475	0.00509
s__GGB52660_SGB131926	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03265	0.0	1.27004	0.16889
s__GGB64512_SGB87014	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03258	0.07083	0.35696	0.30765
s__Thermoleophilia_bacterium_SCSIO_60948	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03247	0.09739	0.199	0.11744
s__Luteimonas_sp_SX5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03105	0.0	0.0	0.0
s__GGB8467_SGB13173	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02823	0.0	0.67171	0.05612
s__GGB91395_SGB134845	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02796	0.0	0.44498	0.0324
s__Lentzea_tibetensis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02796	0.01302	0.0	0.00793
s__GGB91402_SGB134821	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02745	0.0	0.3846	0.04162
s__Steroidobacter_denitrificans	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02632	0.0	0.04172	0.01288
s__Betaproteobacteria_bacterium_SCGC_AG_212_J23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02577	0.0	0.50905	0.05287
s__GGB91397_SGB134825	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0243	0.0	1.12963	0.08591
s__Streptosporangium_becharense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02327	0.08922	0.0	0.00748
s__Gaiella_occulta	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02164	0.0	0.19387	0.07984
s__GGB15820_SGB24072	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0205	0.0	0.54003	0.06163
s__GGB94514_SGB128778	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01861	0.19421	0.28288	0.13523
s__GGB34943_SGB57189	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01859	0.0	0.80336	0.1114
s__Nitrososphaerales_archaeon_TH526	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01788	0.04893	0.45002	0.15625
s__GGB64512_SGB129853	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01696	0.0	1.07864	0.24759
s__GGB52740_SGB73645	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01416	0.02071	0.23997	0.08943
s__Luteimonas_gilva	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01379	0.0	0.0	0.0
s__Sinosporangium_album	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01286	0.05432	0.0	0.0
s__GGB65186_SGB88148	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0122	0.0	0.05581	0.00993
s__Kribbella_catacumbae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01106	0.0	0.0	0.0
s__GGB69372_SGB93527	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00955	0.09985	0.14659	0.12908
s__GGB94644_SGB128987	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00811	0.0	0.14508	0.09666
s__GGB64317_SGB86773	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00809	0.0	0.19018	0.0822
s__Streptosporangium_album	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00691	0.02259	0.0	0.0
s__GGB78212_SGB107748	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00601	0.01924	0.10924	0.09344
s__Streptosporangium_sp_KLBMP_9127	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00593	0.0408	0.0	0.0
s__GGB94471_SGB128739	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00576	0.0	0.10683	0.09753
s__GGB44392_SGB61810	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00535	0.0	0.02515	0.0
s__Thermoactinospora_rubra	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00356	0.0	0.0	0.0
s__GGB52794_SGB73708	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00328	0.0	0.0	0.00115
s__Acidothermus_cellulolyticus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00321	0.0	0.0	0.0
s__Planobispora_siamensis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00281	0.0	0.0	0.0
s__GGB43991_SGB61363	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00268	0.0	0.0	0.0
s__GGB36850_SGB56170	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00242	0.0	0.29266	0.04387
s__Actinobacteria_bacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00221	0.0	0.11761	0.04108
s__Denitrificimonas_caeni	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.13877	0.0	0.48015
s__GGB87586_SGB122575	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.68383	0.1698	0.42045
s__Nitrososphaerales_unclassified_SGB122570	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33526	0.12082	0.91419
s__Phytomonospora_endophytica	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.26331	0.0	0.0
s__GGB64273_SGB129139	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17574	0.0	0.02605
s__Rhizobacter_sp_Root1221	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07893	0.31014	0.0
s__GGB33998_SGB56062	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.11439	0.02386
s__GGB92448_SGB133122	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.92685	0.11883
s__GGB97328_SGB73517	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.79494	0.0
s__GGB49350_SGB69252	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.73887	0.10554
s__GGB15811_SGB24057	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.67899	0.03786
s__GGB32910_SGB85772	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.59015	0.0
s__GGB78298_SGB107406	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.49973	0.04367
s__GGB36712_SGB24061	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.45865	0.05736
s__GGB93409_SGB131987	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.44876	0.04403
s__GGB95721_SGB125699	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.42878	0.0
s__GGB15817_SGB24066	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.42702	0.05046
s__GGB49444_SGB69550	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.41965	0.50501
s__GGB73405_SGB57195	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.39013	0.02292
s__GGB15819_SGB24071	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.38553	0.0
s__GGB49350_SGB131936	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.37216	0.05873
s__GGB26244_SGB38273	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.36622	0.06603
s__GGB15827_SGB24079	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.36188	0.0
s__GGB40651_SGB56143	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.36184	0.04982
s__GGB93435_SGB131913	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.36038	0.03185
s__GGB92432_SGB133077	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34796	0.06917
s__GGB52785_SGB73697	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33211	0.12094
s__Streptomyces_bathyalis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.31617	0.06458
s__GGB74136_SGB132293	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.31375	0.04086
s__GGB49444_SGB122585	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.27648	0.45441
s__GGB91348_SGB134887	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.27625	0.0
s__GGB93324_SGB131738	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.26933	0.0209
s__GGB61948_SGB84082	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.26148	0.00603
s__GGB52942_SGB52704	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25945	0.13321
s__GGB52662_SGB73546	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25887	0.02902
s__GGB49350_SGB131930	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25474	0.02677
s__GGB92602_SGB133320	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22694	0.0
s__GGB34048_SGB73551	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22488	0.0319
s__GGB66013_SGB89422	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19665	0.07261
s__GGB8530_SGB13265	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18818	0.12062
s__GGB94410_SGB128214	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18296	0.20799
s__GGB14617_SGB22154	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16988	0.00444
s__GGB32486_SGB56139	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15309	0.01206
s__GGB95275_SGB130650	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15086	0.01554
s__GGB32516_SGB56643	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15007	0.04477
s__GGB44695_SGB62151	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1467	0.14312
s__GGB34048_SGB56130	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14586	0.0
s__GGB6105_SGB8748	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14542	0.08693
s__GGB94397_SGB128269	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14371	0.01765
s__GGB64074_SGB86472	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13286	0.00629
s__GGB94400_SGB128248	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13179	0.02458
s__GGB35532_SGB55446	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12549	0.0
s__GGB94760_SGB129519	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12445	0.08828
s__GGB49347_SGB128255	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12048	0.0
s__GGB44129_SGB61523	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11646	0.10621
s__GGB36005_SGB55867	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11385	0.07205
s__GGB73399_SGB52699	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10831	0.05872
s__GGB37354_SGB56640	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10669	0.0
s__GGB94519_SGB128948	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09901	0.05075
s__GGB52743_SGB73649	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09886	0.02559
s__GGB90628_SGB127264	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08847	0.00116
s__Bradyrhizobium_sp_200	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08716	0.02809
s__GGB32011_SGB57187	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0869	0.0
s__Thermoleophilum_album	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08528	0.0854
s__GGB92565_SGB133354	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08488	0.00385
s__GGB39851_SGB89662	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08487	0.00306
