clade_name	MS11669_jun23_over50bp.metaphlan	MS11670_jun23_over50bp.metaphlan	MS11673_jun23_over50bp.metaphlan	MS11674_jun23_over50bp.metaphlan	MS11675_jun23_over50bp.metaphlan	MS11676_jun23_over50bp.metaphlan	MS11677_jun23_over50bp.metaphlan	MS11678_jun23_over50bp.metaphlan	MS11679_jun23_over50bp.metaphlan	MS11683_jun23_over50bp.metaphlan	MS11684_jun23_over50bp.metaphlan	MS11686_jun23_over50bp.metaphlan	MS11770_jun23_over50bp.metaphlan	MS11771_jun23_over50bp.metaphlan	MS11774_jun23_over50bp.metaphlan	MS11775_jun23_over50bp.metaphlan
s__Arthrobacter_luteolus	1.33275	0.0	0.0	0.0	0.12122	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__GGB15815_SGB24062	1.32628	2.81898	8.75249	0.0	0.01984	0.05693	0.0	0.89789	0.0	0.0	0.0	0.01464	0.0	0.08831	0.16888	0.13468
s__Sporosarcina_sp_ZBG7A	1.23377	0.0	0.0	0.0	0.0	0.15276	0.0	0.0	0.0	0.0	0.04013	0.0	0.0	0.10268	0.0	0.0
s__Psychrobacillus_faecigallinarum	1.2209	0.0	0.0	0.0	0.32662	0.03829	0.0	0.0	0.02943	0.07367	0.80308	0.18132	0.12629	0.64272	0.0	0.0
s__GGB91375_SGB134870	1.21791	0.75722	0.50054	0.0	0.34329	0.0	0.01672	0.24792	1.26924	14.06257	0.39952	0.14144	3.38308	0.06796	0.78748	0.07716
s__Sphingopyxis_witflariensis	0.99832	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__GGB91399_SGB134831	0.98377	0.62595	8.94594	0.32305	0.17368	0.13169	0.02489	0.26774	0.17919	0.47462	0.57273	0.08529	4.43457	0.75422	0.44127	0.02035
s__Comamonas_SGB88312	0.98287	0.0	0.0	0.0	0.23331	0.4687	0.0	0.0	0.0	0.0	0.0	0.0	1.35323	0.0	0.0	0.0
s__Eubacterium_tenue	0.69617	9.50848	1.75442	3.36774	1.74362	5.26904	2.20491	2.70629	1.41844	0.97251	0.0	1.01117	2.5292	0.94218	1.53178	0.58291
s__Rhodococcus_sp_OK519	0.62032	0.0	0.0	0.0	0.00063	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Rhodococcus_globerulus	0.59727	0.0	0.0	0.0	0.26753	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Pseudoxanthomonas_yeongjuensis	0.4897	0.0	0.0	0.0	0.0	0.0	0.08776	0.82716	0.12197	0.0571	0.0	0.0	0.0	0.0	0.17863	0.0
s__Pedobacter_arcticus	0.44521	0.2408	0.0	0.0	0.0	0.02832	0.0	0.07325	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Bifidobacterium_longum	0.40853	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Nitrospira_sp_SCGC_AG_212_E16	0.40507	0.13786	0.36208	0.0	0.01891	0.0	0.0	0.0728	0.00255	0.0	0.02604	0.0	0.34212	0.06597	0.17769	0.00083
s__Sphingomonas_sp_KC8	0.30921	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Brevundimonas_terrae	0.29293	0.0	0.0	0.0	0.14416	0.0	0.0	0.0	0.24127	0.04729	0.35844	0.01002	0.11399	0.39521	0.04697	0.0
s__Betaproteobacteria_bacterium_SCGC_AG_212_J23	0.29243	0.0	0.57017	0.0	0.01111	0.0	0.0	0.08283	0.01911	0.04273	0.00349	0.0	0.09113	0.0	0.0376	0.0
s__Brucella_thiophenivorans	0.29068	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Staphylococcus_equorum	0.25192	0.0	0.0	2.54342	0.0	0.97932	0.09633	0.53505	0.0	0.0	0.0	0.0	0.0	0.02833	0.0	0.05383
s__GGB93539_SGB132226	0.23923	0.09402	0.0	0.0	0.04947	0.0	0.0	0.12189	0.0	0.0	0.04171	0.02713	0.09015	0.0	0.02944	0.00676
s__Clostridium_moniliforme	0.20665	3.46616	0.5626	4.85772	1.37843	0.13694	1.19427	0.04534	1.89707	2.37866	1.63151	11.95875	0.0	1.27364	0.64436	0.65059
s__Stenotrophomonas_rhizophila	0.20477	0.0	0.0	0.0	0.0	0.0	0.0	0.19864	0.0	0.0	0.35653	0.0	0.7434	24.2901	0.0	0.0
s__Paeniclostridium_sordellii	0.16478	3.62332	0.0	0.5044	0.04372	0.40584	0.0	0.0	0.0	0.0	0.12643	0.50022	0.40207	0.14426	0.0	0.00514
s__Mycolicibacterium_sp_YH_1	0.14969	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__GGB34943_SGB57189	0.14171	0.0	0.0	0.0	0.00138	0.0	0.0	0.04657	0.01568	0.08388	0.0	0.0	0.04682	0.0	0.01247	0.0
s__GGB91402_SGB134821	0.11951	0.0	0.11344	0.0	0.01081	0.0	0.0	0.06874	0.04724	0.15954	0.09978	0.0	0.02625	0.0	0.0	0.0
s__Nocardioides_soli	0.10114	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11565	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Eoetvoesia_caeni	0.09824	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Arcobacter_suis	0.0856	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__GGB91392_SGB134812	0.08548	0.0	0.03186	0.0	0.0	0.0	0.0	0.01392	0.0	0.20982	0.03021	0.0	0.03707	0.0	0.0484	0.0
s__Romboutsia_hominis	0.08009	3.96739	3.4816	10.55136	1.71752	1.76741	0.38222	0.57191	0.42699	0.33996	0.3938	0.36855	1.81743	0.55929	0.58068	0.21823
s__Micromonospora_peucetia	0.07251	0.0	0.0	0.0	0.0	0.06986	0.0	0.27893	0.93654	0.54838	0.0	0.0	0.08743	0.0	0.04129	0.0
s__GGB8467_SGB13173	0.07126	0.0	0.08845	0.0	0.00378	0.0	0.0	0.0523	0.04379	0.2731	0.07088	0.0	0.09344	0.0	0.02512	0.0
s__Pseudomonas_proteolytica	0.06639	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.20301	0.0	0.0
s__GGB91384_SGB134809	0.06156	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02896	0.24646	0.05498	0.0	0.0	0.0	0.01142	0.0
s__Rhodospirillaceae_bacterium_SYSU_D60009	0.06106	0.00293	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02203	0.0
s__Mammaliicoccus_sciuri	0.05876	0.0	0.0	0.0	0.10085	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__GGB14621_SGB22159	0.05361	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01517	0.01171	0.0
s__Clostridium_massiliamazoniense	0.05191	0.00647	0.0	0.66736	0.67661	0.0	1.11919	0.0	0.38227	0.73644	0.30938	0.35918	0.53361	0.02246	0.22554	0.00543
s__GGB32910_SGB85772	0.04176	0.0	6.25012	0.0	0.21581	0.12417	0.0	0.0	0.17188	0.0	0.17641	0.21208	0.0	0.0	0.0	0.0
s__Alcaligenes_pakistanensis	0.03564	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22492	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Brevundimonas_bullata	0.03176	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.38392	0.0	0.0
s__GGB63470_SGB85778	0.03106	0.0	0.0	0.0	0.00414	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Serratia_proteamaculans	0.02998	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Sphingobacterium_hungaricum	0.02875	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02406	0.0	0.0	0.0	0.0	0.0
s__GGB38784_SGB73422	0.01691	0.06453	0.0	0.10784	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__GGB91395_SGB134845	0.01648	0.0	0.0	0.0	0.0	0.0	0.0	0.02014	0.0	0.02709	0.0	0.0	0.0	0.0	0.0	0.0
s__Clostridium_thermobutyricum	0.01096	4.93173	0.0	1.43374	3.27462	0.0	8.76181	0.00867	0.92982	1.10419	7.7685	2.55891	3.71616	3.98263	1.49085	0.28776
s__Desemzia_incerta	0.00651	0.0	0.0	0.0	0.0	0.06644	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Clostridium_sp_Ade_TY	0.00401	0.49351	0.0	1.16679	0.34135	0.10759	0.20098	0.02578	0.19323	0.04791	0.31084	0.0	1.25594	0.11772	0.03583	0.14447
s__GGB4884_SGB6823	0.0	15.01458	0.0	0.0	0.0	0.0	0.0	15.20478	0.0	0.0	0.0	0.0	0.46545	0.0	0.3977	0.0
s__Flavobacterium_sp_140616W15	0.0	8.48213	0.0	0.0	0.0	1.77535	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00285
s__Denitrificimonas_caeni	0.0	7.79182	0.67245	1.38454	0.48121	1.67655	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.50932	9.53219
s__Schaalia_turicensis	0.0	5.99842	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__GGB82146_SGB113463	0.0	3.36733	3.78998	0.68511	2.93947	9.11723	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.87644	0.0
s__Ruminococcus_bromii	0.0	3.04042	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__GGB13315_SGB20561	0.0	2.66442	0.0	0.0	0.0	0.0	0.0	3.00145	0.0	0.0	0.0	0.0	0.0	0.0	0.27993	0.0
s__GGB4574_SGB6324	0.0	0.78084	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__GGB77687_SGB108590	0.0	0.76495	0.26992	0.0	0.0	0.0	0.40323	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__GGB4386_SGB6036	0.0	0.58885	0.5095	0.60062	6.22332	5.83647	0.26596	0.43696	2.47796	4.50831	4.97185	2.18953	1.47133	0.0465	7.26241	2.90759
s__GGB4672_SGB6461	0.0	0.43729	0.0	0.0	0.0	0.0	0.0	1.24526	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__GGB51648_SGB4350	0.0	0.34813	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Mogibacterium_kristiansenii	0.0	0.31424	0.0	0.0	0.0	0.30772	0.0	0.65964	0.0	0.0	0.0	0.0	0.37245	0.0	1.09561	0.0
s__Amedibacillus_dolichus	0.0	0.28631	0.0	0.0	0.77694	0.49667	0.0	0.08752	0.0	0.0	2.82765	0.24725	1.59662	0.0	0.2734	1.84232
s__Escherichia_coli	0.0	0.27363	0.0	4.81557	0.95323	2.83086	0.0	0.06132	2.10109	0.99867	22.22722	0.57216	0.53393	23.50366	0.84631	0.0
s__Bacteroides_stercoris	0.0	0.24469	0.0	0.0	1.15622	0.3702	3.62477	1.12202	1.34287	2.18378	0.5037	3.18181	0.52856	0.15417	5.35462	1.14759
s__Streptococcus_gallolyticus	0.0	0.23065	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Eubacterium_ramulus	0.0	0.20052	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__GGB4682_SGB6472	0.0	0.16231	0.0	0.0	0.0	0.0	0.0	0.11059	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Clostridium_baratii	0.0	0.1562	0.0	1.70714	0.25114	0.11406	0.0	0.0	0.0	0.0	0.21993	0.0044	0.36654	0.03322	0.02235	0.07092
s__Flavobacterium_sp_F_65	0.0	0.1549	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Vescimonas_coprocola	0.0	0.1537	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Clostridiales_bacterium_KLE1615	0.0	0.14658	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__GGB4584_SGB6338	0.0	0.14171	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Clostridium_fallax	0.0	0.14071	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03011	0.0	0.0	0.0	0.0
s__GGB3637_SGB4930	0.0	0.13194	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__GGB13174_SGB20388	0.0	0.12383	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.47316	0.0
s__Fusobacterium_perfoetens	0.0	0.10889	5.45979	7.45792	11.47497	11.63077	6.3038	5.69009	3.07869	4.17591	8.93239	11.27521	2.83085	0.26828	14.11889	3.89082
s__Mediterraneibacter_faecis	0.0	0.10677	0.0	0.0	0.0	0.0	0.0	0.12668	0.0	0.0	0.0	0.0	0.55375	0.0	0.03531	0.0
s__GGB3649_SGB4958	0.0	0.09734	0.0	0.0	0.0	0.0	0.0	0.09628	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__GGB9642_SGB15119	0.0	0.09705	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Fusobacterium_SGB6028	0.0	0.05393	0.0	0.17209	2.47575	2.97655	0.65019	0.96535	0.86012	1.37893	8.31669	2.24811	0.84709	0.1495	4.37799	0.77037
s__Flavobacterium_sp_HSC_61S13	0.0	0.03236	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06768	0.0	0.01263
s__Usitatibacter_palustris	0.0	0.01464	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Acinetobacter_harbinensis	0.0	0.00985	0.0	0.0	0.75678	0.0	0.0	0.10859	0.0	0.0	0.0	0.0	0.0	5.86235	0.0	0.03587
s__Flavobacterium_antarcticum	0.0	0.00906	0.0	0.0	0.0	0.02734	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00295
s__Yaniella_halotolerans	0.0	0.0	1.74109	0.0	0.0	0.00651	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Enterococcus_faecium	0.0	0.0	1.34354	1.33059	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14789	3.67578	0.1418	0.04521
s__Jeotgalicoccus_halotolerans	0.0	0.0	0.92964	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__GGB89632_SGB125949	0.0	0.0	0.46432	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__GGB34476_SGB65958	0.0	0.0	0.34	0.0	0.38709	0.03198	0.0	0.21854	0.24862	0.32294	0.50722	0.0	0.0	0.0	1.69629	1.23082
s__GGB3051_SGB4051	0.0	0.0	0.23208	0.0	0.05738	0.0	0.0	0.02618	0.09848	0.14612	0.0	0.0	0.10281	0.0	0.88711	0.0
s__GGB61948_SGB84082	0.0	0.0	0.09946	0.0	0.0	0.0	0.03357	0.0	0.0	0.0	0.0	0.0	0.0	0.00191	0.0	0.0
s__Lactococcus_petauri	0.0	0.0	0.0	25.57362	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.69084	0.0	0.0
s__Enterococcus_faecalis	0.0	0.0	0.0	5.00743	1.17105	0.0	0.0	0.0	0.0	0.0	3.67736	0.0	0.0	1.04174	0.0	0.0
s__GGB6572_SGB9285	0.0	0.0	0.0	4.36216	0.94777	4.56726	0.0	2.36331	0.0	0.0	0.0	0.0	0.0	0.0	2.8552	1.00306
s__GGB48227_SGB66234	0.0	0.0	0.0	0.38581	0.0	0.55331	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Gemella_palaticanis	0.0	0.0	0.0	0.30795	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Canicola_haemoglobinophilus	0.0	0.0	0.0	0.20013	0.01725	0.0	0.04982	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Lactococcus_garvieae	0.0	0.0	0.0	0.19422	1.3744	0.0	0.0	0.0	0.0	0.0	0.15633	0.0	0.0	0.0	0.0	0.0
s__Helicobacter_sp_NHP19_0003	0.0	0.0	0.0	0.15176	0.18322	0.13277	8.86383	0.0	0.15002	0.21719	0.86449	3.27825	0.15191	0.56935	0.36161	0.00244
s__GGB81434_SGB115923	0.0	0.0	0.0	0.09682	0.0	6.82893	0.0	5.01145	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Collinsella_intestinalis	0.0	0.0	0.0	0.08353	0.29129	0.36441	0.0	0.03064	0.12981	0.13151	0.0	0.53053	0.0	0.92017	0.09803	1.51026
s__GGB72446_SGB99643	0.0	0.0	0.0	0.04094	0.54206	0.04167	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Kurthia_zopfii	0.0	0.0	0.0	0.0	2.84654	0.3286	0.0	0.64185	0.16064	0.06259	0.0	0.0	0.0	0.03762	0.60616	0.0
s__Pseudomonas_fragi	0.0	0.0	0.0	0.0	2.82797	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17889	0.0	0.0
s__Psychrobacter_immobilis	0.0	0.0	0.0	0.0	2.27467	0.10851	0.0	0.33839	0.0	0.0	0.0	0.0	0.0	0.3	0.0	0.42623
s__Shewanella_morhuae	0.0	0.0	0.0	0.0	2.24068	0.05441	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16333	0.0394	0.8438
s__GGB47148_SGB47368	0.0	0.0	0.0	0.0	2.15983	0.0	0.0	0.0	0.0	0.0	0.0	3.93291	0.0	0.0	0.00188	18.9075
s__GGB3441_SGB4591	0.0	0.0	0.0	0.0	1.55926	0.0	0.0	0.0	0.0	0.0	0.08826	0.54175	0.63903	0.0	1.94555	0.75811
s__Alcaligenes_faecalis	0.0	0.0	0.0	0.0	1.23934	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__GGB4593_SGB6353	0.0	0.0	0.0	0.0	1.08845	0.0	0.0	0.04283	0.0	0.0	0.45151	2.7876	0.0	0.0	4.46346	0.17858
s__GGB33657_SGB47663	0.0	0.0	0.0	0.0	1.07744	0.0	0.0	0.17683	1.4584	2.84583	0.0	0.14192	0.0	0.0	0.0	0.02544
s__Weissella_soli	0.0	0.0	0.0	0.0	1.0022	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Vagococcus_fluvialis	0.0	0.0	0.0	0.0	0.98837	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Yersinia_frederiksenii	0.0	0.0	0.0	0.0	0.96054	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Psychrobacter_faecalis	0.0	0.0	0.0	0.0	0.904	0.68323	0.0	0.42543	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Peptacetobacter_hiranonis	0.0	0.0	0.0	0.0	0.7411	1.25351	0.0	0.48931	0.05582	0.3579	0.26817	0.03875	0.0	0.03979	1.09948	1.43715
s__GGB3602_SGB4865	0.0	0.0	0.0	0.0	0.7387	0.16195	0.0	0.26039	0.0	0.0	0.0	0.65654	0.0	0.0	0.74735	1.9563
s__Proteus_vulgaris	0.0	0.0	0.0	0.0	0.73353	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Collinsella_sp_BA40	0.0	0.0	0.0	0.0	0.73141	0.0	0.0	0.0	0.09486	0.18891	0.0	0.0	0.0	0.0	0.06247	0.90749
s__GGB3440_SGB4589	0.0	0.0	0.0	0.0	0.70107	0.0	0.0	0.27722	0.0	0.0	1.14743	0.91492	0.74904	0.0	1.45568	1.73479
s__GGB3600_SGB4859	0.0	0.0	0.0	0.0	0.69788	3.185	0.0	0.0	0.15036	0.39702	1.34081	0.0	0.0	0.0	1.32052	1.80589
s__GGB3550_SGB4746	0.0	0.0	0.0	0.0	0.67715	0.0	0.0	0.0	0.10977	0.09678	0.27459	0.37136	0.0	0.0	0.47585	0.30802
s__GGB4379_SGB70926	0.0	0.0	0.0	0.0	0.63244	0.22595	0.0	0.08425	0.0	0.0	1.04493	0.21458	0.0	0.0	0.61269	0.15996
s__Phocaeicola_massiliensis	0.0	0.0	0.0	0.0	0.5889	0.0	5.41374	1.30645	2.62379	6.7241	0.54637	0.61098	0.58582	0.0	4.18811	10.50772
s__Microterricola_pindariensis	0.0	0.0	0.0	0.0	0.5206	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01808	0.0	0.0
s__Lachnospiraceae_bacterium_2_1_46FAA	0.0	0.0	0.0	0.0	0.49438	0.0	0.0	0.0	0.0	0.0	2.31337	0.0	0.0	0.0	0.29946	0.68813
s__Providencia_rustigianii	0.0	0.0	0.0	0.0	0.48307	0.23549	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16971	0.04747	0.0
s__GGB78706_SGB106379	0.0	0.0	0.0	0.0	0.44641	0.0	0.0	0.0	0.0	0.0	0.44806	0.0	0.0	0.0	0.57762	0.71219
s__Faecalimonas_umbilicata	0.0	0.0	0.0	0.0	0.44492	0.88449	0.0	0.0	0.21411	0.33568	0.4542	0.01463	0.0	0.04281	2.29537	1.83371
s__Blautia_SGB4793	0.0	0.0	0.0	0.0	0.40264	0.0	0.0	0.07315	0.0	0.0	0.13123	0.02971	0.0	0.0	0.0	0.14774
s__Amedibacterium_intestinale	0.0	0.0	0.0	0.0	0.36218	1.19287	0.0	0.1034	0.0	0.0	1.64555	0.72738	0.43373	0.0	0.22271	1.4203
s__Blautia_caecimuris	0.0	0.0	0.0	0.0	0.35004	0.0	0.0	0.0	0.0	0.0	0.0	0.78335	0.0	0.0	0.27686	1.31122
s__Stenotrophomonas_pictorum	0.0	0.0	0.0	0.0	0.34874	0.0	0.0	0.0	0.33124	0.0	0.0	0.0	0.0	0.57631	0.03976	0.0
s__Algoriella_xinjiangensis	0.0	0.0	0.0	0.0	0.33596	0.06152	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Acinetobacter_sp_ANC_3781	0.0	0.0	0.0	0.0	0.31933	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.77101	0.0	0.0
s__Psychrobacter_aquimaris	0.0	0.0	0.0	0.0	0.31852	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Blautia_hansenii	0.0	0.0	0.0	0.0	0.30717	0.12544	0.0	0.32305	0.15443	0.14962	0.23321	0.06371	0.0	0.0	0.0	0.19865
s__Pseudoalteromonas_nigrifaciens	0.0	0.0	0.0	0.0	0.29722	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17511
s__Sphingobacterium_sp_ML3W	0.0	0.0	0.0	0.0	0.288	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00395
s__Vagococcus_martis	0.0	0.0	0.0	0.0	0.26526	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2654	0.0	0.0
s__Escherichia_marmotae	0.0	0.0	0.0	0.0	0.24452	0.0	0.0	0.0	0.0	0.0	0.0075	0.0	0.0	0.12791	0.39627	0.19716
s__Psychrobacillus_psychrotolerans	0.0	0.0	0.0	0.0	0.24265	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07223
s__Citrobacter_braakii	0.0	0.0	0.0	0.0	0.21458	0.0	0.0	0.0	0.0	0.0	0.12528	0.0	0.0	0.0	0.03833	0.0
s__Enterococcus_hirae	0.0	0.0	0.0	0.0	0.20386	0.28786	0.0	0.0	0.0	0.0	0.32288	0.39994	0.13711	0.0	0.02557	0.0
s__Glutamicibacter_ardleyensis	0.0	0.0	0.0	0.0	0.19765	0.23073	0.0	1.08965	0.0	0.0	0.0	0.0	0.0	0.45923	0.0	0.49588
