name,taxonomy_id,taxonomy_lvl,MS11669_minimizer_filtered.bracken_num,MS11669_minimizer_filtered.bracken_frac,MS11670_minimizer_filtered.bracken_num,MS11670_minimizer_filtered.bracken_frac,MS11673_minimizer_filtered.bracken_num,MS11673_minimizer_filtered.bracken_frac,MS11674_minimizer_filtered.bracken_num,MS11674_minimizer_filtered.bracken_frac,MS11675_minimizer_filtered.bracken_num,MS11675_minimizer_filtered.bracken_frac,MS11676_minimizer_filtered.bracken_num,MS11676_minimizer_filtered.bracken_frac,MS11677_minimizer_filtered.bracken_num,MS11677_minimizer_filtered.bracken_frac,MS11678_minimizer_filtered.bracken_num,MS11678_minimizer_filtered.bracken_frac,MS11679_minimizer_filtered.bracken_num,MS11679_minimizer_filtered.bracken_frac,MS11683_minimizer_filtered.bracken_num,MS11683_minimizer_filtered.bracken_frac,MS11684_minimizer_filtered.bracken_num,MS11684_minimizer_filtered.bracken_frac,MS11686_minimizer_filtered.bracken_num,MS11686_minimizer_filtered.bracken_frac,MS11770_minimizer_filtered.bracken_num,MS11770_minimizer_filtered.bracken_frac,MS11771_minimizer_filtered.bracken_num,MS11771_minimizer_filtered.bracken_frac,MS11774_minimizer_filtered.bracken_num,MS11774_minimizer_filtered.bracken_frac,MS11775_minimizer_filtered.bracken_num,MS11775_minimizer_filtered.bracken_frac
Arcobacter defluvii,873191,S,5329,0.00454,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000
Arcobacter ellisii,913109,S,5197,0.00443,146,0.00026,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000
Devosia sp. FJ2-5-3,2976680,S,5119,0.00436,0,0.00000,0,0.00000,0,0.00000,93,0.00003,237,0.00024,87,0.00013,2028,0.00165,795,0.00049,336,0.00026,1891,0.00161,1389,0.00168,1042,0.00145,111,0.00003,157,0.00009,1167,0.00050
Roseateles sp. XES5,2877940,S,5069,0.00432,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,104,0.00006,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000
Pollutimonas thiosulfatoxidans,2028345,S,4893,0.00417,65,0.00011,0,0.00000,0,0.00000,154,0.00005,0,0.00000,0,0.00000,0,0.00000,62,0.00004,93,0.00007,0,0.00000,0,0.00000,0,0.00000,726,0.00022,0,0.00000,713,0.00030
Stenotrophomonas maltophilia,40324,S,4865,0.00415,819,0.00144,1370,0.00328,0,0.00000,29269,0.00871,3253,0.00328,2062,0.00296,4066,0.00331,10960,0.00670,2520,0.00197,2183,0.00186,10069,0.01221,5390,0.00748,70943,0.02144,2734,0.00163,2122,0.00091
Arcobacter cloacae,1054034,S,4849,0.00413,155,0.00027,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000
Sphingobacterium sp. UDSM-2020,2795738,S,4749,0.00405,0,0.00000,0,0.00000,56,0.00009,6035,0.00180,487,0.00049,34,0.00005,343,0.00028,28,0.00002,40,0.00003,3419,0.00291,93,0.00011,1223,0.00170,9004,0.00272,54,0.00003,342,0.00015
Streptomyces sp. PLM4,2929798,S,4658,0.00397,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,1001,0.00061,0,0.00000,0,0.00000,967,0.00117,307,0.00043,0,0.00000,0,0.00000,0,0.00000
Mycolicibacterium sp. YH-1,2908837,S,4632,0.00395,79,0.00014,44,0.00011,0,0.00000,391,0.00012,156,0.00016,179,0.00026,234,0.00019,183,0.00011,59,0.00005,323,0.00027,38,0.00005,837,0.00116,0,0.00000,87,0.00005,0,0.00000
Stenotrophomonas acidaminiphila,128780,S,4551,0.00388,1092,0.00193,0,0.00000,493,0.00079,43788,0.01303,3791,0.00382,2589,0.00372,3762,0.00306,14718,0.00899,1895,0.00148,155,0.00013,272,0.00033,2878,0.00399,25338,0.00766,3398,0.00202,1728,0.00074
Brevundimonas pondensis,2774189,S,4439,0.00378,334,0.00059,0,0.00000,0,0.00000,1425,0.00042,1500,0.00151,343,0.00049,81,0.00007,276,0.00017,131,0.00010,112,0.00010,513,0.00062,478,0.00066,3332,0.00101,260,0.00015,364,0.00016
Sphingopyxis fribergensis,1515612,S,4430,0.00378,0,0.00000,0,0.00000,0,0.00000,218,0.00006,356,0.00036,363,0.00052,912,0.00074,529,0.00032,168,0.00013,147,0.00013,931,0.00113,364,0.00050,210,0.00006,285,0.00017,335,0.00014
Sporosarcina jeotgali,3020056,S,4314,0.00368,0,0.00000,0,0.00000,0,0.00000,404,0.00012,1032,0.00104,0,0.00000,0,0.00000,0,0.00000,0,0.00000,273,0.00023,0,0.00000,0,0.00000,749,0.00023,0,0.00000,46,0.00002
Romboutsia hominis,1507512,S,4172,0.00356,20278,0.03575,9065,0.02170,55224,0.08847,51744,0.01540,27998,0.02825,6557,0.00942,9030,0.00735,4665,0.00285,3397,0.00265,2576,0.00219,4331,0.00525,6942,0.00963,9575,0.00289,9325,0.00555,11606,0.00496
Sporosarcina ureae,1571,S,4157,0.00354,0,0.00000,0,0.00000,158,0.00025,4092,0.00122,1335,0.00135,59,0.00008,48,0.00004,0,0.00000,0,0.00000,894,0.00076,0,0.00000,0,0.00000,374,0.00011,57,0.00003,105,0.00004
Enterococcus hirae,1354,S,3897,0.00332,183,0.00032,1188,0.00284,354,0.00057,17559,0.00523,12777,0.01289,302,0.00043,2344,0.00191,1982,0.00121,888,0.00069,7433,0.00633,21590,0.02619,7469,0.01036,2316,0.00070,3891,0.00232,1604,0.00069
Alcaligenes faecalis,511,S,3728,0.00318,92,0.00016,986,0.00236,94,0.00015,171940,0.05117,211,0.00021,510,0.00073,142,0.00012,5410,0.00330,2179,0.00170,273,0.00023,0,0.00000,0,0.00000,67,0.00002,0,0.00000,175,0.00007
Sphingopyxis lindanitolerans,2054227,S,3670,0.00313,0,0.00000,0,0.00000,0,0.00000,102,0.00003,247,0.00025,0,0.00000,168,0.00014,0,0.00000,128,0.00010,0,0.00000,209,0.00025,278,0.00039,0,0.00000,123,0.00007,0,0.00000
Arcobacter aquimarinus,1315211,S,3538,0.00302,73,0.00013,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000
Pusillimonas sp. T7-7,1007105,S,3493,0.00298,33,0.00006,0,0.00000,0,0.00000,162,0.00005,0,0.00000,0,0.00000,0,0.00000,52,0.00003,51,0.00004,0,0.00000,0,0.00000,0,0.00000,137,0.00004,0,0.00000,124,0.00005
Comamonas testosteroni,285,S,3464,0.00295,596,0.00105,0,0.00000,0,0.00000,775,0.00023,2569,0.00259,427,0.00061,226,0.00018,8885,0.00543,770,0.00060,2047,0.00174,2875,0.00349,4121,0.00572,1111,0.00034,518,0.00031,1953,0.00083
Brevundimonas naejangsanensis,588932,S,3428,0.00292,0,0.00000,0,0.00000,0,0.00000,796,0.00024,674,0.00068,191,0.00027,181,0.00015,533,0.00033,413,0.00032,762,0.00065,429,0.00052,409,0.00057,1880,0.00057,209,0.00012,0,0.00000
Desemzia incerta,82801,S,3365,0.00287,0,0.00000,0,0.00000,0,0.00000,0,0.00000,1600,0.00161,0,0.00000,87,0.00007,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,30,0.00001,0,0.00000,55,0.00002
Novosphingobium resinovorum,158500,S,3339,0.00285,0,0.00000,309,0.00074,0,0.00000,246,0.00007,337,0.00034,192,0.00028,0,0.00000,181,0.00011,211,0.00016,0,0.00000,0,0.00000,152,0.00021,156,0.00005,0,0.00000,782,0.00033
Hydrogenophaga sp. PBC,795665,S,3333,0.00284,280,0.00049,777,0.00186,0,0.00000,315,0.00009,127,0.00013,440,0.00063,482,0.00039,184,0.00011,447,0.00035,146,0.00012,5899,0.00716,508,0.00070,221,0.00007,172,0.00010,374,0.00016
Comamonas aquatica,225991,S,3217,0.00274,576,0.00102,734,0.00176,0,0.00000,610,0.00018,948,0.00096,267,0.00038,134,0.00011,4472,0.00273,362,0.00028,1051,0.00089,1412,0.00171,1988,0.00276,829,0.00025,449,0.00027,926,0.00040
Shinella sp. HZN7,879274,S,3180,0.00271,0,0.00000,565,0.00135,0,0.00000,0,0.00000,416,0.00042,309,0.00044,0,0.00000,500,0.00031,488,0.00038,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000
Pseudomonas putida,303,S,3126,0.00267,899,0.00159,839,0.00201,0,0.00000,1253,0.00037,612,0.00062,1098,0.00158,1928,0.00157,1254,0.00077,886,0.00069,3991,0.00340,589,0.00071,572,0.00079,5989,0.00181,3398,0.00202,1006,0.00043
Rhodococcus sp. AQ5-07,2054902,S,3101,0.00264,0,0.00000,0,0.00000,0,0.00000,3330,0.00099,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,354,0.00015
Steroidobacter denitrificans,465721,S,3100,0.00264,127,0.00022,1391,0.00333,0,0.00000,101,0.00003,68,0.00007,1427,0.00205,605,0.00049,136,0.00008,243,0.00019,78,0.00007,200,0.00024,242,0.00034,142,0.00004,421,0.00025,69,0.00003
Sphingopyxis sp. EG6,1874061,S,2897,0.00247,0,0.00000,0,0.00000,0,0.00000,0,0.00000,300,0.00030,150,0.00022,161,0.00013,943,0.00058,162,0.00013,0,0.00000,251,0.00030,128,0.00018,0,0.00000,183,0.00011,225,0.00010
Rhodococcus sp. RCBS9,3031999,S,2838,0.00242,0,0.00000,0,0.00000,0,0.00000,624,0.00019,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000
Delftia tsuruhatensis,180282,S,2815,0.00240,671,0.00118,0,0.00000,0,0.00000,543,0.00016,584,0.00059,0,0.00000,0,0.00000,1377,0.00084,594,0.00046,0,0.00000,805,0.00098,2112,0.00293,1247,0.00038,473,0.00028,1561,0.00067
Sphingopyxis sp. DBS4,2968500,S,2773,0.00236,0,0.00000,0,0.00000,0,0.00000,141,0.00004,189,0.00019,0,0.00000,120,0.00010,242,0.00015,0,0.00000,0,0.00000,192,0.00023,201,0.00028,0,0.00000,190,0.00011,0,0.00000
Streptomyces albidoflavus,1886,S,2722,0.00232,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,1202,0.00098,16904,0.01033,3795,0.00296,11921,0.01015,36710,0.04453,6872,0.00953,1456,0.00044,0,0.00000,0,0.00000
Sphingopyxis indica,436663,S,2688,0.00229,0,0.00000,0,0.00000,0,0.00000,0,0.00000,407,0.00041,0,0.00000,0,0.00000,258,0.00016,334,0.00026,0,0.00000,247,0.00030,0,0.00000,0,0.00000,340,0.00020,0,0.00000
Achromobacter spanius,217203,S,2674,0.00228,105,0.00019,259,0.00062,0,0.00000,502,0.00015,0,0.00000,1478,0.00212,173,0.00014,206,0.00013,246,0.00019,756,0.00064,791,0.00096,503,0.00070,3724,0.00113,159,0.00009,109,0.00005
Brevundimonas diminuta,293,S,2626,0.00224,0,0.00000,0,0.00000,0,0.00000,1196,0.00036,757,0.00076,360,0.00052,0,0.00000,412,0.00025,369,0.00029,653,0.00056,321,0.00039,402,0.00056,2050,0.00062,499,0.00030,0,0.00000
Pseudomonas sp. DTU12.1,2654238,S,2590,0.00221,0,0.00000,0,0.00000,0,0.00000,486,0.00014,0,0.00000,631,0.00091,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,12651,0.00382,0,0.00000,0,0.00000
Variovorax paradoxus,34073,S,2481,0.00212,803,0.00142,1733,0.00415,244,0.00039,478,0.00014,521,0.00053,905,0.00130,1274,0.00104,628,0.00038,1062,0.00083,326,0.00028,1050,0.00127,3784,0.00525,700,0.00021,826,0.00049,1248,0.00053
Pseudomonas fragi,296,S,2427,0.00207,1598,0.00282,382,0.00091,575,0.00092,195490,0.05818,5987,0.00604,1279,0.00184,5621,0.00457,0,0.00000,0,0.00000,0,0.00000,0,0.00000,2773,0.00385,14155,0.00428,585,0.00035,5637,0.00241
Streptomyces sp. NBC_01750,2975928,S,2423,0.00207,565,0.00100,9145,0.02189,0,0.00000,4761,0.00142,1193,0.00120,223,0.00032,234,0.00019,0,0.00000,171,0.00013,0,0.00000,0,0.00000,1034,0.00143,408,0.00012,580,0.00035,337,0.00014
Pollutimonas sp. M17,2962065,S,2404,0.00205,37,0.00007,0,0.00000,0,0.00000,141,0.00004,24,0.00002,59,0.00008,35,0.00003,1035,0.00063,1009,0.00079,0,0.00000,0,0.00000,0,0.00000,147,0.00004,0,0.00000,82,0.00004
Stenotrophomonas sp. 364,2691571,S,2285,0.00195,0,0.00000,0,0.00000,0,0.00000,1696,0.00050,0,0.00000,0,0.00000,3196,0.00260,3743,0.00229,203,0.00016,1058,0.00090,0,0.00000,3344,0.00464,51193,0.01547,214,0.00013,0,0.00000
Rhodococcus sp. 008,1723645,S,2225,0.00190,0,0.00000,0,0.00000,0,0.00000,1720,0.00051,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,620,0.00086,546,0.00017,0,0.00000,0,0.00000
Rhodococcus sp. H-CA8f,1727214,S,2191,0.00187,0,0.00000,0,0.00000,0,0.00000,2480,0.00074,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000
Acidovorax sp. T1,1858609,S,2052,0.00175,1684,0.00297,0,0.00000,426,0.00068,0,0.00000,727,0.00073,1249,0.00180,0,0.00000,613,0.00037,0,0.00000,0,0.00000,428,0.00052,722,0.00100,554,0.00017,0,0.00000,3032,0.00130
Streptomyces sp. S399,3096009,S,1999,0.00170,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,4932,0.00301,1146,0.00089,0,0.00000,1280,0.00155,691,0.00096,1640,0.00050,0,0.00000,0,0.00000
Streptomyces rutgersensis,53451,S,1997,0.00170,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,4214,0.00257,1192,0.00093,0,0.00000,933,0.00113,523,0.00073,1820,0.00055,0,0.00000,0,0.00000
Streptomyces sp. NBC_01422,2903859,S,1984,0.00169,0,0.00000,0,0.00000,0,0.00000,971,0.00029,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,1222,0.00169,0,0.00000,0,0.00000,0,0.00000
