name,taxonomy_id,taxonomy_lvl,Blank1_WH_minimizer_filtered.bracken_num,Blank1_WH_minimizer_filtered.bracken_frac,Blank2_WH_minimizer_filtered.bracken_num,Blank2_WH_minimizer_filtered.bracken_frac,KH_blank_1_minimizer_filtered.bracken_num,KH_blank_1_minimizer_filtered.bracken_frac,KH_blank_2_minimizer_filtered.bracken_num,KH_blank_2_minimizer_filtered.bracken_frac,LB_blank_1_minimizer_filtered.bracken_num,LB_blank_1_minimizer_filtered.bracken_frac,LB_blank_2_minimizer_filtered.bracken_num,LB_blank_2_minimizer_filtered.bracken_frac,MS10790_minimizer_filtered.bracken_num,MS10790_minimizer_filtered.bracken_frac,MS10902_minimizer_filtered.bracken_num,MS10902_minimizer_filtered.bracken_frac,MS10903_minimizer_filtered.bracken_num,MS10903_minimizer_filtered.bracken_frac,MS10904_minimizer_filtered.bracken_num,MS10904_minimizer_filtered.bracken_frac,MS11102_minimizer_filtered.bracken_num,MS11102_minimizer_filtered.bracken_frac,MS11103_minimizer_filtered.bracken_num,MS11103_minimizer_filtered.bracken_frac,MS11107_minimizer_filtered.bracken_num,MS11107_minimizer_filtered.bracken_frac,MS11108_minimizer_filtered.bracken_num,MS11108_minimizer_filtered.bracken_frac
Burkholderia arboris,488730,S,0,0.00000,0,0.00000,0,0.00000,0,0.00000,88,0.00346,219,0.00367,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000
Burkholderia gladioli,28095,S,0,0.00000,0,0.00000,0,0.00000,0,0.00000,83,0.00327,193,0.00323,0,0.00000,0,0.00000,0,0.00000,0,0.00000,67,0.00004,0,0.00000,175,0.00023,80,0.00006
Burkholderia singularis,1503053,S,0,0.00000,0,0.00000,0,0.00000,0,0.00000,74,0.00291,65,0.00109,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,54,0.00007,0,0.00000
Bacteroides stercoris,46506,S,0,0.00000,0,0.00000,0,0.00000,0,0.00000,70,0.00275,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000
Massilia putida,1141883,S,0,0.00000,0,0.00000,0,0.00000,0,0.00000,59,0.00232,161,0.00270,191,0.00128,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,98,0.00013,53,0.00004
Burkholderia glumae,337,S,0,0.00000,0,0.00000,0,0.00000,0,0.00000,55,0.00216,98,0.00164,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,72,0.00006
Aquitalea denitrificans,519081,S,0,0.00000,0,0.00000,0,0.00000,0,0.00000,54,0.00212,90,0.00151,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000
Trinickia violacea,2571746,S,0,0.00000,0,0.00000,0,0.00000,0,0.00000,41,0.00161,109,0.00183,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,97,0.00013,42,0.00003
Aquitalea aquatilis,1537400,S,0,0.00000,0,0.00000,0,0.00000,0,0.00000,34,0.00134,177,0.00296,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000
Staphylococcus capitis,29388,S,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,2709,0.04536,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000
Methylobacterium fujisawaense,107400,S,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,577,0.00966,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000
Acidovorax temperans,80878,S,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,532,0.00891,0,0.00000,546,0.00857,0,0.00000,2075,0.02468,0,0.00000,0,0.00000,0,0.00000,618,0.00050
Ralstonia pseudosolanacearum,1310165,S,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,433,0.00725,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,329,0.00044,134,0.00011
Burkholderia sp. MS455,2811788,S,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,363,0.00608,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000
Burkholderia sp. NRF60-BP8,1637853,S,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,317,0.00531,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000
Burkholderia sp. MSMB0856,1637869,S,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,245,0.00410,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000
Novosphingobium sp. EMRT-2,2571749,S,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,215,0.00360,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,141,0.00011
Bradyrhizobium betae,244734,S,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,207,0.00347,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,551,0.00073,0,0.00000
Burkholderia metallica,488729,S,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,181,0.00303,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000
Burkholderia sp. LA-2-3-30-S1-D2,1637862,S,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,172,0.00288,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000
Phocaeicola vulgatus,821,S,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,155,0.00260,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000
Burkholderia sp. S-53,2906514,S,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,146,0.00244,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000
Burkholderia oklahomensis,342113,S,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,116,0.00194,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000
Bradyrhizobium sp. SK17,2057741,S,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,113,0.00189,0,0.00000,0,0.00000,0,0.00000,0,0.00000,135,0.00008,0,0.00000,467,0.00062,315,0.00026
Polynucleobacter sp. JS-JIR-II-b4,1758390,S,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,89,0.00149,0,0.00000,0,0.00000,0,0.00000,127,0.00151,0,0.00000,0,0.00000,0,0.00000,0,0.00000
Cupriavidus necator,106590,S,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,84,0.00141,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,186,0.00025,98,0.00008
Caballeronia sp. Lep1P3,2878150,S,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,73,0.00122,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,70,0.00009,0,0.00000
Paraburkholderia tropica,92647,S,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,68,0.00114,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,57,0.00008,0,0.00000
Methylorubrum populi,223967,S,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,66,0.00111,0,0.00000,0,0.00000,0,0.00000,0,0.00000,109,0.00007,0,0.00000,245,0.00033,0,0.00000
Clostridium perfringens,1502,S,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,61,0.00102,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,366,0.00030
Pandoraea vervacti,656178,S,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,54,0.00090,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,30,0.00002
Aquirufa antheringensis,2516559,S,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,42,0.00070,0,0.00000,32,0.00050,0,0.00000,119,0.00142,0,0.00000,0,0.00000,0,0.00000,0,0.00000
Paraburkholderia kirstenboschensis,1245436,S,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,41,0.00069,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,48,0.00006,0,0.00000
Paraburkholderia pallida,2547399,S,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,38,0.00064,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,60,0.00008,0,0.00000
Paraburkholderia sabiae,273251,S,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,35,0.00059,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,54,0.00007,0,0.00000
Paraburkholderia terricola,169427,S,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,33,0.00055,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,117,0.00016,0,0.00000
Paraburkholderia sp. SOS3,1926494,S,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,32,0.00054,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,45,0.00006,0,0.00000
Paraburkholderia terrae,311230,S,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,32,0.00054,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000
Edaphobacter flagellatus,1933044,S,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,32,0.00054,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,25,0.00003,0,0.00000
Rubrobacter xylanophilus,49319,S,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,31,0.00052,0,0.00000,0,0.00000,0,0.00000,0,0.00000,62,0.00004,39,0.00004,167,0.00022,129,0.00010
Flavobacterium ammoniigenes,1751095,S,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,30,0.00050,0,0.00000,59,0.00093,0,0.00000,285,0.00339,0,0.00000,0,0.00000,0,0.00000,0,0.00000
Paraburkholderia acidiphila,2571747,S,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,29,0.00049,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000
Phreatobacter cathodiphilus,1868589,S,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,28,0.00047,0,0.00000,0,0.00000,0,0.00000,0,0.00000,174,0.00010,137,0.00015,341,0.00045,73,0.00006
Paraburkholderia edwinii,2861782,S,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,27,0.00045,0,0.00000,0,0.00000,0,0.00000,102,0.00121,0,0.00000,0,0.00000,0,0.00000,0,0.00000
Paraburkholderia phymatum,148447,S,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,27,0.00045,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,49,0.00007,0,0.00000
Paraburkholderia sp. SUR17,3034358,S,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,26,0.00044,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000
Paraburkholderia sprentiae,948107,S,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,24,0.00040,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000
Paraburkholderia acidicola,1912599,S,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,23,0.00039,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000
Trinickia caryophylli,28094,S,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,21,0.00035,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,51,0.00007,19,0.00002
Peribacillus frigoritolerans,450367,S,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,28762,0.19203,283,0.00444,0,0.00000,0,0.00000,690,0.00042,913,0.00103,2047,0.00272,2982,0.00242
Streptosporangium roseum,2001,S,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,14098,0.09413,13168,0.20667,28816,0.30923,11882,0.14130,429928,0.25929,228490,0.25814,67851,0.09021,129493,0.10512
Peribacillus simplex,1478,S,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,9912,0.06618,471,0.00739,0,0.00000,0,0.00000,1182,0.00071,0,0.00000,49,0.00007,1220,0.00099
Pseudoxanthomonas mexicana,128785,S,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,9870,0.06590,0,0.00000,0,0.00000,0,0.00000,296,0.00018,0,0.00000,330,0.00044,311,0.00025
Streptosporangium sp. NBC_01756,2975950,S,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,8458,0.05647,8066,0.12660,18918,0.20301,7599,0.09037,266453,0.16070,150846,0.17042,43344,0.05763,87401,0.07095
Streptosporangium subroseum,106412,S,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,4239,0.02830,4167,0.06540,8713,0.09350,3452,0.04105,135826,0.08192,71677,0.08098,20146,0.02678,37720,0.03062
Neobacillus sp. YX16,3047874,S,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,3963,0.02646,569,0.00893,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000
Streptosporangium sp. 'caverna',2202249,S,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,3243,0.02165,3599,0.05649,6265,0.06723,2708,0.03220,105289,0.06350,60481,0.06833,15043,0.02000,33525,0.02721
Peribacillus asahii,228899,S,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,2507,0.01674,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000
Streptomyces thermocarboxydus,59299,S,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,2418,0.01614,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000
Exiguobacterium artemiae,340145,S,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,2250,0.01502,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000
Streptosporangium sp. NBC_01755,2975949,S,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,2041,0.01363,1213,0.01904,3541,0.03800,697,0.00829,72829,0.04392,19839,0.02241,5981,0.00795,8583,0.00697
Pseudomonas putida,303,S,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,2037,0.01360,0,0.00000,0,0.00000,0,0.00000,1556,0.00094,1138,0.00129,3037,0.00404,2768,0.00225
Streptomyces sp. NBC_01230,2903784,S,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,1967,0.01313,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000,0,0.00000
